0|00000000000000000000|0|0000000000|1960-01-01|0.00|0.0|0.0|0|00|0000000000|00|0000000000|0.00|00|0.0|0|00:00:00.0|1960-01-01 00:00:00.0|0|0000000000|00
1|01010101010101010101|1|1111111111|1960-01-02|1.00|1.0|1.0|1|1|01|1|1111111111|1.00|1|1.0|1|00:00:01.0|1960-01-01 00:00:01.0|1|01|1
2|02020202020202020202|2|2222222222|1960-01-03|2.00|2.0|2.0|2|2222|0202|2222|2222222222|2.00|2222|2.0|2|00:00:02.0|1960-01-01 00:00:02.0|2|0202|2222
3|03030303030303030303|3|3333333333|1960-01-04|3.00|3.0|3.0|3|3333333333|03030303030303|3333333333|3333333333|3.00|3333333333|3.0|3|00:00:03.0|1960-01-01 00:00:03.0|3|03030303030303|3333333333
4|04040404040404040404|4|4444444444|1960-01-05|4.00|4.0|4.0|4|4444|04|4444|4444444444|4.00|4444|4.0|4|00:00:04.0|1960-01-01 00:00:04.0|4|04|4444
5|05050505050505050505|5|5555555555|1960-01-06|5.00|5.0|5.0|5|5555|0505050505050505|5555|5555555555|5.00|5555|5.0|5|00:00:05.0|1960-01-01 00:00:05.0|5|0505050505050505|5555
6|06060606060606060606|6|6666666666|1960-01-07|6.00|6.0|6.0|6||0606||6666666666|6.00||6.0|6|00:00:06.0|1960-01-01 00:00:06.0|6|0606|
7|07070707070707070707|7|7777777777|1960-01-08|7.00|7.0|7.0|7|777777777|0707070707070707|777777777|7777777777|7.00|777777777|7.0|7|00:00:07.0|1960-01-01 00:00:07.0|7|0707070707070707|777777777
8|08080808080808080808|8|8888888888|1960-01-09|8.00|8.0|8.0|8|8888888|08|8888888|8888888888|8.00|8888888|8.0|8|00:00:08.0|1960-01-01 00:00:08.0|8|08|8888888
9|09090909090909090909|9|9999999999|1960-01-10|9.00|9.0|9.0|9|99999999|090909090909090909|99999999|9999999999|9.00|99999999|9.0|9|00:00:09.0|1960-01-01 00:00:09.0|9|090909090909090909|99999999
